pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Apoptosis	0.020756966833017	0.057540770868083	0.066566340781415	0.290997854955794	1.57456037623246	25	5685 3007 4001 5702 578 5699 5720 5688 572 8772 5686 5713 5700 8717 5719 9861 5534 2620 8626 1829 4137 219699 7161
Assembly of the pre-replicative complex	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Asymmetric localization of PCP proteins	0.007765822864086	0.023672629117092	0.057945440950196	0.443838604143948	1.80997648870928	13	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861 8322 8324 7474
Autodegradation of Cdh1 by Cdh1:APC/C	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Autodegradation of the E3 ubiquitin ligase COP1	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
B-WICH complex positively regulates rRNA expression	1.6885299241721E-07	1.05491324965604E-06	0.690132458796796	0.854446460980036	2.94130890329402	9	8365 653604 8340 8351 3017 8338 8347 3015
Base Excision Repair	1.33247430921644E-08	9.34212543461751E-08	0.747739663149885	0.881263616557734	3.18969309895989	10	8365 8340 3017 8338 8347 3015 5111 2237 54936 26277
Base-Excision Repair, AP Site Formation	1.31670200656097E-06	6.92365805116643E-06	0.643551836150722	0.901249412896652	2.75552325934998	7	8365 8340 3017 8338 8347 3015 26277
Blood group systems biosynthesis	0.029691629536766	0.076471094847753	0.009016565922358	-0.606137777811994	-1.57389192348089	7	2524 2528 2525 10317
CDK-mediated phosphorylation and removal of Cdc6	9.36958617836518E-06	4.02191080173363E-05	0.593325476396405	0.735924446058845	2.78147057478889	11	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
CDT1 association with the CDC6:ORC:origin complex	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
CLEC7A (Dectin-1) signaling	6.87818356194131E-09	6.4888847929614E-08	0.761460801445585	0.867417362876862	3.27845593908976	11	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861 5534
Cap-dependent Translation Initiation	7.05411442312371E-19	4.04649654635551E-17	1.12391496374483	0.930833636694576	4.28532513457783	17	6154 6129 6135 6229 6228 6230 6167 6146 25873 6168 6166 6147 1974 9045 6223 8894 8666
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	9.36958617836518E-06	4.02191080173363E-05	0.593325476396405	0.735924446058845	2.78147057478889	11	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Cell Cycle	8.43049065324116E-07	4.92559222425479E-06	0.659444398037935	0.385558319084304	2.59984786073237	45	8365 653604 8340 4869 8351 5685 3017 4001 8338 9126 8347 6418 3015 5702 653784 5111 5699 57122 55651 5431 5720 5688 5516 2237 5686 5713 5700 165918 3065 5719 9861 26277 55559 2491 22981 9700 8900 92421 10381 1780 93426 91768 64900
Cell Cycle Checkpoints	1.24217365641051E-07	8.3384210339897E-07	0.690132458796796	0.619897959183674	3.06147516703991	20	8365 8340 5685 3017 8347 5702 5699 57122 5720 5688 5516 5686 5713 5700 165918 5719 9861
Cell Cycle, Mitotic	9.65255299023655E-08	6.54920530842932E-07	0.704975715167238	0.438003966034746	2.78790004243958	38	8365 653604 8340 8351 5685 3017 4001 8338 9126 8347 6418 3015 5702 653784 5111 5699 57122 5720 5688 5516 2237 5686 5713 5700 3065 5719 9861 55559 2491 22981 9700 8900 92421 10381 1780 91768 64900
Cellular Senescence	0.000310684437817	0.001146443744224	0.326667138108538	0.533219121308476	2.32142972966109	15	8365 653604 8340 8351 3007 3017 4001 8338 8347 3015 26277 8900 84733 5602
Cellular responses to external stimuli	0.005154630552884	0.016262859394348	0.407017918923954	0.217492649039736	1.63569252087348	67	6154 6129 6135 8365 6229 653604 6228 6230 8340 6167 6146 3301 8351 5685 3007 3017 25873 4001 6168 6166 6147 8338 6647 9045 6223 8894 8347 3015 3305 3312 5702 10294 5699 57122 6921 5720 5688
Cellular responses to stress	0.005154630552884	0.016262859394348	0.407017918923954	0.217492649039736	1.63569252087348	67	6154 6129 6135 8365 6229 653604 6228 6230 8340 6167 6146 3301 8351 5685 3007 3017 25873 4001 6168 6166 6147 8338 6647 9045 6223 8894 8347 3015 3305 3312 5702 10294 5699 57122 6921 5720 5688
Chromatin modifying enzymes	8.48370084804739E-06	4.02191080173363E-05	0.593325476396405	0.556205579837944	2.68639145523431	19	8365 653604 8340 317772 8969 8329 8351 3017 8338 8347 440689 3015 6603 23210 9219 3065 6944
Chromatin organization	8.48370084804739E-06	4.02191080173363E-05	0.593325476396405	0.556205579837944	2.68639145523431	19	8365 653604 8340 317772 8969 8329 8351 3017 8338 8347 440689 3015 6603 23210 9219 3065 6944
Chromosome Maintenance	2.16206114728846E-07	1.3375103764108E-06	0.690132458796796	0.736727272727273	3.10719018149154	14	8365 8340 4869 3017 8338 8347 3015 5111 55651 5431 2237 26277 2491
Class A/1 (Rhodopsin-like receptors)	0.031001077947298	0.079035012671191	0.008104545698655	-0.377440615343314	-1.45555992577886	34	4985 6751 221391 4886 2587 64106 4986 8811 6869 6387 6376 148 9283 3973 2151 624 4988 59350 79948 2862 3360 3358
Class C/3 (Metabotropic glutamate/pheromone receptors)	0.017401156037644	0.049018435088186	0.011604584106953	-0.584846292836036	-1.64063035370615	9	2913 2917 2915 9568 2911 2916 2918
Cleavage of the damaged purine	1.31670200656097E-06	6.92365805116643E-06	0.643551836150722	0.901249412896652	2.75552325934998	7	8365 8340 3017 8338 8347 3015 26277
Cleavage of the damaged pyrimidine 	1.31670200656097E-06	6.92365805116643E-06	0.643551836150722	0.901249412896652	2.75552325934998	7	8365 8340 3017 8338 8347 3015 26277
Complex I biogenesis	1.30346893251445E-06	6.92365805116643E-06	0.643551836150722	0.902067464635473	2.75802441004303	7	4725 4694 4707 51103 4716 4717 4715
Condensation of Prophase Chromosomes	7.73078134770297E-12	1.57358807432277E-10	0.875325132024659	0.952813067150635	3.2799217804362	9	8365 653604 8340 8351 3017 8338 8347 6418 3015
Cross-presentation of soluble exogenous antigens (endosomes)	0.016094032549729	0.045951739994927	0.036021601756217	0.451208487490695	1.70536953592382	11	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Cyclin A:Cdk2-associated events at S phase entry	0.000592509782001	0.00211228063527	0.199102595635422	0.563226744186047	2.21622583621407	12	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Cyclin E associated events during G1/S transition 	0.000592509782001	0.00211228063527	0.199102595635422	0.563226744186047	2.21622583621407	12	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
DNA Damage/Telomere Stress Induced Senescence	0.002903355435001	0.00959171350516	0.084925625989009	0.52815110788231	1.99617878368363	11	8365 8340 3007 3017 4001 8338 8347 3015
DNA Repair	0.000706620147507	0.002477096183761	0.366378600460311	0.379581119532477	2.05387558775163	25	8365 8340 3017 91603 8338 8347 3015 29844 5111 6613 2547 5431 2237 7520 54936 5887 165918 26277 2176 10401 146956
DNA Replication	3.23534202393229E-07	1.94428649247741E-06	0.674962860011025	0.736459469283897	3.0032861311425	13	5685 5702 5111 5699 5720 5688 2237 5686 5713 5700 5719 9861
DNA Replication Pre-Initiation	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
DNA methylation	1.87424615252254E-10	2.81583171962315E-09	0.826657301178302	0.952467343976778	3.10399099822946	8	8365 653604 8340 8351 3017 8338 8347 3015
Dectin-1 mediated noncanonical NF-kB signaling	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Dectin-2 family	0.024238113475953	0.064261552955154	0.01000295847633	-0.617337685890461	-1.60297350445751	7	140453 4585 56667 118430 10071 283463 94025
Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)	0.024238113475953	0.064261552955154	0.01000295847633	-0.617337685890461	-1.60297350445751	7	140453 4585 56667 118430 10071 283463 94025
Defective CFTR causes cystic fibrosis	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Defective GALNT12 causes colorectal cancer 1 (CRCS1)	0.024238113475953	0.064261552955154	0.01000295847633	-0.617337685890461	-1.60297350445751	7	140453 4585 56667 118430 10071 283463 94025
Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)	0.024238113475953	0.064261552955154	0.01000295847633	-0.617337685890461	-1.60297350445751	7	140453 4585 56667 118430 10071 283463 94025
Degradation of AXIN	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Degradation of DVL	0.026019690576653	0.068126243791983	0.028314151191543	0.427304998397478	1.6150248654843	11	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Degradation of GLI1 by the proteasome	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Degradation of GLI2 by the proteasome	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Degradation of beta-catenin by the destruction complex	0.001357744743988	0.004681622587194	0.146854744912627	0.495837779191769	2.09122471252339	14	5685 5702 5699 5720 5688 5516 5686 5713 5700 3065 1487 5719 9861
Deposition of new CENPA-containing nucleosomes at the centromere	1.03859084447404E-06	5.90406146723531E-06	0.643551836150722	0.859216255442671	2.80009549859328	8	8365 8340 4869 3017 8338 8347 3015 2491
Depurination	1.31670200656097E-06	6.92365805116643E-06	0.643551836150722	0.901249412896652	2.75552325934998	7	8365 8340 3017 8338 8347 3015 26277
Depyrimidination	1.31670200656097E-06	6.92365805116643E-06	0.643551836150722	0.901249412896652	2.75552325934998	7	8365 8340 3017 8338 8347 3015 26277
Deubiquitination	4.65727142687482E-14	1.17549530814321E-12	0.965327754226083	0.739956172388605	4.07548803767169	26	8340 317772 8969 8329 5685 3017 8338 8347 440689 4738 5702 29844 5699 5720 5688 5686 5713 5700 79155 5887 5719 9861 161725 78990 367 8900
Diseases associated with O-glycosylation of proteins	0.019766603257431	0.055189055997517	0.010307896800352	-0.434297258720387	-1.55283441308662	23	171019 140453 4585 56667 118430 10071 80070 57188 56999 92949 157869 283463 81792 94025 54437 79875 80731
Diseases of metabolism	0.010667505145898	0.031901401644843	0.013925950494965	-0.387212763432946	-1.53989767024097	41	1586 171019 2328 140453 2331 2694 4585 56667 8908 63827 118430 10071 80070 4166 1583 57188 56999 92949 157869 283463 81792 94025 54437 79875 6439 1588 80731 1634
Downstream TCR signaling	2.73837990408259E-10	4.01841330110725E-09	0.814035837847908	0.886264534883721	3.48733859001685	12	915 5685 5702 5699 3932 5720 5688 5686 5713 5700 5719 9861
Downstream signaling events of B Cell Receptor (BCR)	6.87818356194131E-09	6.4888847929614E-08	0.761460801445585	0.867417362876862	3.27845593908976	11	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861 5534
E3 ubiquitin ligases ubiquitinate target proteins	0.000326481409395	0.001190807915193	0.201026318271889	0.764961915125136	2.33883131515108	7	8340 3017 8347 5111 51255 56254
ECM proteoglycans	0.022876825790756	0.062439367010997	0.009519000230816	-0.410767667129969	-1.51795787247951	27	1404 2331 3371 4038 1280 1277 63827 256076 1297 63923 7448 284217 1288 131873 4148 3909 1287 3912 8516 1634 2335
EPH-Ephrin signaling	0.034427767875487	0.087244664776835	0.008065883958015	-0.516998644404839	-1.5374820303582	11	2044 2045 2902 284656 79784 2904 4629
EPHA-mediated growth cone collapse	0.037761199307004	0.095309267050879	0.008069780050842	-0.62257816232784	-1.53929824020749	6	2044 2045 284656 79784 4629
ER-Phagosome pathway	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	1.26964015445214E-09	1.78031763879844E-08	0.788186810800237	0.887395568470759	3.35396476515758	11	8365 653604 8340 8351 3017 8338 8347 3015 9219 3065 7270
Epigenetic regulation of gene expression	1.40619772582374E-10	2.33502832893363E-09	0.826657301178302	0.855688840421665	3.48950422147554	13	8365 653604 8340 8351 3017 8338 8347 3015 8932 9219 3065 7270 9013
Eukaryotic Translation Elongation	5.83106082963999E-21	1.1371331497671E-18	1.18665095279281	0.960349217897417	4.18098889592165	15	6154 6129 1933 6135 6229 6228 6230 6167 6146 25873 6168 6166 6147 9045 6223
Eukaryotic Translation Initiation	7.05411442312371E-19	4.04649654635551E-17	1.12391496374483	0.930833636694576	4.28532513457783	17	6154 6129 6135 6229 6228 6230 6167 6146 25873 6168 6166 6147 1974 9045 6223 8894 8666
Eukaryotic Translation Termination	1.3196181067704E-20	1.66535805074425E-18	1.1778932614942	0.957439068752274	4.16831923260067	15	6154 6129 6135 6229 6228 6230 6167 6146 25873 6168 6166 6147 9045 6223 51504
Extension of Telomeres	0.006635564485136	0.020524711716277	0.039043673820022	0.734324030445814	1.9015149314812	5	5111 55651 2237 26277
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
FCERI mediated NF-kB activation	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Fc epsilon receptor (FCERI) signaling	5.94908852591584E-06	2.90998051151387E-05	0.610526878385931	0.70203488372093	2.76241826810683	12	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861 5534
Formation of RNA Pol II elongation complex 	0.0001556730671	0.000588201828384	0.257036139599295	0.882203696991664	2.28444587523458	5	5431 6921 2963 22916 55677
Formation of a pool of free 40S subunits	1.79672962065503E-17	5.55412286783575E-16	1.07686819261983	0.930156420516551	4.04954113896653	15	6154 6129 6135 6229 6228 6230 6167 6146 25873 6168 6166 6147 9045 6223 8666
Formation of the beta-catenin:TCF transactivating complex	0.017691380349608	0.049614493336012	0.034353729678861	0.446388910255527	1.6871536547497	11	8365 653604 8340 8351 3017 8338 8347 3015
Formation of the cornified envelope	0.000589786874868	0.00211228063527	0.061029748692896	-0.581015161158509	-1.93847673128138	17	23581 3872 192666 340654 3860 1825 2312 342574 3859 3866 7062 9333
Formation of the ternary complex, and subsequently, the 43S complex	1.0256500860959E-06	5.90406146723531E-06	0.643551836150722	0.927121102248006	2.62627973439329	6	6229 6228 6230 6223 8894 8666
G alpha (i) signalling events	0.000623330988755	0.002209673336542	0.057805558047192	-0.396287564441248	-1.67326578314187	63	4985 6751 221391 131890 4886 6017 5999 2913 2917 8601 2587 5582 84152 145226 4986 4036 26166 8811 9568 2786 5145 6387 6376 108 5143 5137 2916 2986 9283 338 353299 114 2918 624 4988
G1/S DNA Damage Checkpoints	9.36958617836518E-06	4.02191080173363E-05	0.593325476396405	0.735924446058845	2.78147057478889	11	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
G1/S Transition	2.45894493961437E-05	9.94611703138888E-05	0.575610261071129	0.56384139687159	2.45474726843885	15	5685 5702 5111 5699 5720 5688 5516 5686 5713 5700 3065 5719 9861
G2/M Checkpoints	3.06905096324856E-14	8.06904649087435E-13	0.965327754226083	0.887231720625682	3.86266360498216	15	8365 8340 5685 3017 8347 5702 5699 5720 5688 5686 5713 5700 165918 5719 9861
G2/M DNA damage checkpoint	0.000126484367019	0.000492664417215	0.285674249557613	0.891264951069228	2.30790978110182	5	8365 8340 3017 8347 165918
G2/M Transition	0.006723880311099	0.020595963477202	0.077046738129858	0.391462084929257	1.80219348082285	17	5685 5702 653784 5699 5720 5688 5516 5686 5713 5700 5719 9861 55559 22981 8900 10381
GABA receptor activation	0.005539732388955	0.017304807611042	0.019754054050853	-0.500790764636758	-1.7158189669824	19	2554 3763 2556 2555 3765 2558 2557 2569 9568 2786 108 3773 114 3761 2561 107 2562
GLI3 is processed to GLI3R by the proteasome	0.001416515973478	0.004857725974264	0.121704027031118	0.557210316018889	2.10600980341863	11	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
GPCR downstream signalling	0.015652109564767	0.044893096069854	0.011441184781127	-0.306712381917688	-1.36810435476918	104	4985 1607 6751 221391 131890 4886 6017 5999 2913 2917 8601 2915 10846 2587 64106 143503 5582 84152 145226 4986 4036 26166 8811 54848 9568 5744 2786 6869 5145 6387 6376 108 148 2911 5143 2245 5137 2916 2986 9283 3973 338 2151 1956 353299 114 50940 2918 624 4988 9162 59350 1259 26084 2862 3360 3358
GTP hydrolysis and joining of the 60S ribosomal subunit	7.05411442312371E-19	4.04649654635551E-17	1.12391496374483	0.930833636694576	4.28532513457783	17	6154 6129 6135 6229 6228 6230 6167 6146 25873 6168 6166 6147 1974 9045 6223 8894 8666
Gene Silencing by RNA	0.004003247389491	0.012954097962916	0.085370781340233	0.453454545454545	1.91247095573541	14	8365 653604 8340 8351 3017 8338 8347 3015 57122 5431
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	0.001722133304793	0.005749556165738	0.076718995865265	0.798477709314969	2.06763938502127	5	4001 6647 3185 6950 3586
Global Genome Nucleotide Excision Repair (GG-NER)	0.000287022217466	0.001065358936593	0.188616036691576	0.858644436389996	2.22343971997975	5	29844 5111 6613 5887 10401
Glucose metabolism	0.003797835721303	0.012352754330631	0.025492635304442	-0.702562078681427	-1.82426639925356	7	5105 57818 5313 8789
HATs acetylate histones	2.18962655545652E-12	5.11723835738171E-11	0.898671232061694	0.923736208330225	3.63478487461815	12	8365 653604 8340 317772 8969 8329 8351 3017 8338 8347 440689
HCMV Early Events	0.011340561664304	0.033488025471628	0.059301903283898	0.370892335893159	1.70749550356735	17	8365 653604 8340 317772 8969 8329 8351 3017 8338 8347 440689 10951 57122
HCMV Infection	0.028718232986526	0.074267233665974	0.03928970467859	0.327875207606124	1.54780275848707	18	8365 653604 8340 317772 8969 8329 8351 3017 8338 8347 440689 10951 57122
HCMV Late Events	6.11052178131026E-07	3.63748985283658E-06	0.659444398037935	0.724809445094925	2.95577726265279	13	8365 653604 8340 317772 8969 8329 8351 3017 8338 8347 440689 57122
HDACs deacetylate histones	1.81378894084564E-12	4.40192623720615E-11	0.910119734774459	0.893493275172665	3.64367093304456	13	8365 653604 8340 317772 8969 8329 8351 3017 8338 8347 440689 9219 3065
HDMs demethylate histones	0.001561595454346	0.005297670600498	0.080573223527386	0.803189561435303	2.07984061607223	5	8365 653604 8351 23210
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	3.77917897660694E-05	0.000150927970521	0.557332238758646	0.735390199637024	2.53147486749095	9	8365 8340 3017 8347 5111 6613 165918 146956 8900
HIV Infection	6.62505644171726E-07	3.90692580815289E-06	0.659444398037935	0.533261754951984	2.83970651657153	24	4869 5685 6884 5702 5699 57122 2547 5431 3932 6921 5720 5688 2963 2237 22916 7520 5686 5713 5700 5719 9861 2961
HIV Life Cycle	0.005623253214086	0.017479176246741	0.06434240505286	0.478924418604651	1.88450687234203	12	6884 57122 2547 5431 6921 2963 2237 22916 7520 2961
Hedgehog ligand biogenesis	0.008730287961722	0.026484671653109	0.054646537005929	0.439331696369655	1.79159729178479	13	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861 57758 2262
Hh mutants abrogate ligand secretion	0.031062889290737	0.079035012671191	0.02590702602951	0.418491144041869	1.58171237441013	11	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Hh mutants that don't undergo autocatalytic processing are degraded by ERAD	0.031062889290737	0.079035012671191	0.02590702602951	0.418491144041869	1.58171237441013	11	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Homology Directed Repair	2.44950164330991E-05	9.94611703138888E-05	0.575610261071129	0.735657225853304	2.66267746950669	10	8365 8340 3017 8347 5111 6613 2237 165918 146956 8900
Host Interactions of HIV factors	3.10025207483697E-12	6.9866394972219E-11	0.898671232061694	0.886909090909091	3.74059074662283	14	4869 5685 5702 5699 57122 3932 6921 5720 5688 5686 5713 5700 5719 9861
Influenza Infection	1.82897889086065E-08	1.26822602212426E-07	0.73376198835648	0.681543280971782	3.29175418719891	19	6154 6129 6135 6229 6228 6230 6167 6146 25873 6168 6166 6147 9045 6223 57122 5431 2963
Influenza Viral RNA Transcription and Replication	4.24430508781215E-17	1.21734386836794E-15	1.06720998682811	0.900946831755281	4.25310593509772	18	6154 6129 6135 6229 6228 6230 6167 6146 25873 6168 6166 6147 9045 6223 57122 5431 2963 2926
Inhibition of DNA recombination at telomere	2.46004485175149E-07	1.50707602083028E-06	0.674962860011025	0.880624092888244	2.86986139150587	8	8365 8340 3017 8338 8347 3015 5431 26277
Innate Immune System	0.016921554164886	0.047881168959835	0.011000996693646	-0.344372680426519	-1.44208427932283	59	12 8547 197 140453 4025 1361 245972 5648 3426 4585 729 56667 730 23114 118430 5284 10071 644150 338 4620 7448 2444 732 283463 94025
Interleukin-1 signaling	1.54521593565542E-09	2.03131511541368E-08	0.788186810800237	0.88594260806393	3.34847321417083	11	5685 5702 5699 5720 5688 5686 5713 5700 79155 5719 9861
Interleukin-12 family signaling	0.001722133304793	0.005749556165738	0.076718995865265	0.798477709314969	2.06763938502127	5	4001 6647 3185 6950 3586
Interleukin-12 signaling	0.001722133304793	0.005749556165738	0.076718995865265	0.798477709314969	2.06763938502127	5	4001 6647 3185 6950 3586
Keratinization	0.001511911681695	0.005156844708916	0.037984365212872	-0.546528376031271	-1.84872248426897	18	23581 3872 192666 340654 3860 1825 2312 342574 3859 3866 7062 9333
L13a-mediated translational silencing of Ceruloplasmin expression	7.05411442312371E-19	4.04649654635551E-17	1.12391496374483	0.930833636694576	4.28532513457783	17	6154 6129 6135 6229 6228 6230 6167 6146 25873 6168 6166 6147 1974 9045 6223 8894 8666
Late Phase of HIV Life Cycle	0.024612928970471	0.064711492418196	0.025940715641202	0.478402903811252	1.64683310728187	9	6884 57122 5431 6921 2963 22916 2961
Lewis blood group biosynthesis	0.004251365813752	0.013686795043252	0.024390533303859	-0.731639444811942	-1.8089476599283	6	2524 2528 2525 10317
M Phase	4.35186839031234E-06	2.1622275230607E-05	0.610526878385931	0.418246593399289	2.51847486409843	33	8365 653604 8340 8351 5685 3017 4001 8338 9126 8347 6418 3015 5702 653784 5699 57122 5720 5688 5516 5686 5713 5700 5719 9861 55559 2491 22981 9700 92421 10381 1780
Major pathway of rRNA processing in the nucleolus and cytosol	4.48559066963426E-18	2.18274273038944E-16	1.0959292864312	0.911037158056642	4.30073940820266	18	6154 6129 6135 6229 6228 6230 6167 6146 25873 6168 6166 57050 6147 9045 6223 57418 84946
Meiosis	0.002179440610243	0.007238036974019	0.10951825612801	0.500814540772223	2.04232469987552	13	8365 653604 8340 8351 3017 4001 8338 9126 8347 3015
Meiotic recombination	1.87424615252254E-10	2.81583171962315E-09	0.826657301178302	0.952467343976778	3.10399099822946	8	8365 653604 8340 8351 3017 8338 8347 3015
Meiotic synapsis	0.023056057866185	0.062439367010997	0.030083730392169	0.433662902181608	1.63905494409849	11	8365 8340 3017 4001 8338 9126 8347 3015
Metabolism of RNA	2.44521509981137E-23	7.71465363990486E-21	1.25451347943706	0.611874277995016	4.57918737065889	66	6154 6129 6135 6229 6228 6230 6167 6146 5685 6635 25873 6632 3188 6168 6166 57050 6147 51690 1974 127253 4116 9045 6223 6629 51504 10286 6418 25949 22826 57418 3312 5702 6428 22938 5699 84946 57122 10189 55651 5431 10949 5720 5688 2963 22916 51340 5686 26121 8896 5713 8125 5700 3185 88745 9410 6634 22827 5719 8683 10465 9861 5073
Metabolism of amine-derived hormones	0.027392236712513	0.071267945170187	0.009294097138855	-0.584694424388635	-1.58264717938104	8	53905 50506 1734 389434 15 121278 1644
Metabolism of non-coding RNA	0.000126484367019	0.000492664417215	0.285674249557613	0.890540050743023	2.30603266863244	5	6635 6632 57122 22916 6634
Metabolism of polyamines	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Mitochondrial translation	3.87563339049217E-06	1.94089259476235E-05	0.610526878385931	0.883206383750453	2.70035763508435	7	51258 4528 28973 54998 10573 54948 7818
Mitochondrial translation elongation	1.50154620016926E-05	6.23339244938686E-05	0.593325476396405	0.882886149383611	2.50097424843475	6	51258 28973 54998 10573 54948 7818
Mitochondrial translation initiation	3.87563339049217E-06	1.94089259476235E-05	0.610526878385931	0.883206383750453	2.70035763508435	7	51258 4528 28973 54998 10573 54948 7818
Mitochondrial translation termination	1.50154620016926E-05	6.23339244938686E-05	0.593325476396405	0.882886149383611	2.50097424843475	6	51258 28973 54998 10573 54948 7818
